date,dl_traffic_volume_gb,connected_users
12/15/2024,1106.76,475.37
12/16/2024,1159.14,492.8
12/17/2024,1079.36,470.63
12/18/2024,1094.36,477.98
12/19/2024,1102.03,492.7
12/20/2024,1085.4,490.5
12/21/2024,1130.9,488.28
12/22/2024,1130.3,494.92
12/23/2024,1110.61,478.39
12/24/2024,1052.85,485.21
12/25/2024,1190.22,526.01
12/26/2024,1123.79,504.09
12/27/2024,1092.91,500.54
12/28/2024,1116.3,504.52
12/29/2024,1109.65,502.17
12/30/2024,1077.98,478.76
12/31/2024,1073.29,480.01
1/1/2025,1165.71,515.51
1/2/2025,1012.1,456.07
1/3/2025,1011.31,458.34
1/4/2025,1086,468.65
1/5/2025,1119.86,487.45
1/6/2025,1040.38,465.77
1/7/2025,1088.63,483.42
1/8/2025,1123.49,482.31
1/9/2025,1065.31,478.14
1/10/2025,1035.06,460.82
1/11/2025,1098.81,473.64
1/12/2025,1160.97,503.24
1/13/2025,1169.48,503.47
1/14/2025,1155.2,489.92
1/15/2025,987.8,459.46
1/16/2025,1017.25,467.52
1/17/2025,1022.18,451.91
1/18/2025,1074.93,462.53
1/19/2025,1136.86,487.24
1/20/2025,1106.25,472.44
1/21/2025,1055.74,457.13
1/22/2025,1018.54,447.32
1/23/2025,970.4,447.94
1/24/2025,1003.44,448.39
1/25/2025,1040.95,459.44
1/26/2025,1059.16,478.01
1/27/2025,983.33,446.82
1/28/2025,1034.85,457.78
1/29/2025,1050.52,457.63
1/30/2025,1094.5,468.74
1/31/2025,1013.84,465.58
2/1/2025,1046.07,474.11
2/2/2025,1032.64,483.75
2/3/2025,976.37,456.26
2/4/2025,1101.54,499.79
2/5/2025,995.01,464.03
2/6/2025,989.62,463.13
2/7/2025,1030.32,461.66
2/8/2025,1070.84,498.54
2/9/2025,1003.87,473.05
2/10/2025,983.04,459.41
2/11/2025,1017.66,462.33
2/12/2025,1123.97,486.54
2/13/2025,1060.05,467.19
2/14/2025,1060.36,470.76
2/15/2025,1073.75,484.35
2/16/2025,1064.16,498.43
2/17/2025,1041.99,466.35
2/18/2025,1032.52,460.08
2/19/2025,1014.44,456.49
2/20/2025,1015.33,468.87
2/21/2025,1034.59,462.5
2/22/2025,1089.53,476.04
